Citation,Parent.Statute,Document.Description,File,Entity.Empowered,Triggering.Event,Describe.Health.Emergency,State.Trigger,Location,Military.Involvement..Federal.,Document.Type,Preliminary.Screening,Source,Chapter,Date.Originally.Published..from.File.,Date.Last.Updated..from.File.,PDF..from.File.,Note,url..from.File.,Funding.Stream.,Funding.Stream.Description,Waiver.Authority,Regulations..Relevant.Chapter..Section.or.Article,Scenarios.Matrix,Plans...Strategies
14 U.S.C. § 2317,National Emergencies Act,"At least 20% of aviation cadets recruited each year must be qualified enlisted members of the Coast Guard, unless it's during a war or national emergency.",National Emergencies Act,Department of Defense - Department of the Air Force,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 2317,National Emergencies Act,"At least 20% of aviation cadets recruited each year must be qualified enlisted members of the Coast Guard, unless it's during a war or national emergency.",National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 2779,National Emergencies Act,The Secretary of the department overseeing the Coast Guard can arrange transportation to and from work for employees of a private company making materials for the Coast Guard during a war or a national emergency declared by Congress or the President.,National Emergencies Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 2779,National Emergencies Act,The Secretary of the department overseeing the Coast Guard can arrange transportation to and from work for employees of a private company making materials for the Coast Guard during a war or a national emergency declared by Congress or the President.,National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 3735,National Emergencies Act,"If there's a war or national emergency at the end of a fiscal year, the President can temporarily lift the limit on the number of officers in the Coast Guard Reserve for up to six months after the war or emergency ends.






",National Emergencies Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 3735,National Emergencies Act,"If there's a war or national emergency at the end of a fiscal year, the President can temporarily lift the limit on the number of officers in the Coast Guard Reserve for up to six months after the war or emergency ends.






",National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 4903,National Emergencies Act,"If there is a war or national emergency at the end of the fiscal year, the President can temporarily lift the legal limits on the number of Coast Guard members, both military and civilian, for up to six months after the war or emergency ends.",National Emergencies Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
14 U.S.C. § 4903,National Emergencies Act,"If there is a war or national emergency at the end of the fiscal year, the President can temporarily lift the legal limits on the number of Coast Guard members, both military and civilian, for up to six months after the war or emergency ends.",National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
15 U.S.C. § 636,National Emergencies Act,Members of a reserve called to active duty during a war or national emergency can delay paying back interest and principal on loans from the Small Business Administration.,National Emergencies Act,Small Business Administration,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
15 U.S.C. § 636,National Emergencies Act,Members of a reserve called to active duty during a war or national emergency can delay paying back interest and principal on loans from the Small Business Administration.,National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
16 U.S.C. § 440,National Emergencies Act,Fort McHenry can be shut down during a national emergency to be used for military purposes.,National Emergencies Act,Department of Defense - Department of the Army,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",NA,9/14/76,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/M_iUyNwWKU5zoaFjPmpueQ/mORj8pHOpdHAOlsgcRwoi2lYUiCSR8KvcfY6dwvT_208UQh913e5NTJUeAyKhOitQPGKks6RAKRS-B1P7K8GYcQtTvACu1lAEdcpSLwSP9PPt9J8HvESs6Bs094YieBTTNJFk9R55AN9yWKudP0BEa1obhqJG9vZGT06uWr-8jQ/fDeyRkEBySeVLg3h4iTSY8eRbAKISnJeU0TTC4KVCUw),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,NA
42 U.S.C. § 247d-7c,Public Health Service Act,"Allows the HHS Secretary is to provide supplies, equipment, and services in lieu of payments (if requested) to the recipients of awards. ",Public Health Service Act,Department of Health and Human Services,No triggering event - Capacity Building,N/A,Not applicable,Domestic,No,Legislation,Include,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 300d-73,Public Health Service Act,Authorizes the HHS to waive some accreditation requirements for a poison control center if the center's accreditation is impacted by a PHE identified by Section 319.,Public Health Service Act,Department of Health and Human Services,No triggering event - Capacity Building,N/A,Not applicable,Domestic,No,Legislation,Exclude,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 300x-67,Public Health Service Act,Allows the HHS Secretary to extend/ waive application deadlines for specific mental health and substance abuse grants during a PHE. ,Public Health Service Act,Department of Health and Human Services,Health Emergency,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Exclude,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 300ff-83,Public Health Service Act,Empowers the HHS secretary to waive requirements for certain HIV programs to enhance the health and safety of recipients and the general public during a PHE under section 319.,Public Health Service Act,Department of Health and Human Services,Health Emergency,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 300ff-138,Public Health Service Act,"Enables the HHS Secretary to suspend infectious disease notification and reporting requirements during a PHE, if compliance is not feasible. If the HHS Secretary does so, they are required to notify Congress and publish the notice in the Federal Register. ",Public Health Service Act,Department of Health and Human Services,Health Emergency,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 1320b-5,Public Health Service Act,"Authorizes the HHS Secretary to waive/ modify requirements related to Medicare, Medicaid, CHIP, HIPAA, and other health care regulations during PHE and emergencies declared under the Stafford Act. ",Public Health Service Act,Department of Health and Human Services,PHSA Emergency Declaration,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),,https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S.C. § 1395w-3a,Public Health Service Act,Empowers the HHS Secretary to use alternative methods to calculate Medicare Part B payments for drugs during PHEs provided ther is a documented shortage. The price increase must not be reflected in the manufacturer's average sales price.,Public Health Service Act,Department of Health and Human Services,No triggering event - Capacity Building,??,Not applicable,Domestic,No,Legislation,Exclude,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),"*unclear on triggers, don't seem to be relevant to what we are looking at. A PHE can cause a change in prices, but doesn't seem like that was how this was legislation was intended to be interpreted",https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,,,,,,NA
42 U.S. Code § 247d,Public Health Service Act,"Empowers the HHS Secretary to respond to qualifying PHE, utilize the Public Health Emergency Fund, as well as reassign emergency professionals, and make appointments to respond to emergent health crises.",Public Health Service Act,Department of Health and Human Services,PHSA Emergency Declaration,"If the Secretary determines after consultation with health officials that: ""(1) a disease or disorder presents a public health emergency; or (2) (2)a public health emergency, including significant outbreaks of infectious diseases or bioterrorist attacks, otherwise exists,"" then a public health emergency may be declared under the PHSA.",Not applicable,Domestic,No,Legislation,Include,PHSA,NA,7/1/44,7/2/24,COMPS-8773.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/uUl0B_nL2pVkg45MjfRhvw/ajzbRvo7bO5z0ycpcei75oItCkZKc7Ewj7R3sZQbdWCsAYguXEZqahBT86wA648K-Ok0Jzw5VsXzA5qLiBUpE31Dwjsg6whCnhXrhqtGgmKdJ693-DQ31NNPbw1AE3ODQk_CkplHGAom5DYoelryTQ/zIVL50tmpcGZWLx9yyTF_EM8pGD3DnyXX4W44BUc8jg),"*comes into effect during PHEs, but I did not see PHEs listed as an explicit trigger as I did in other places
",https://www.govinfo.gov/content/pkg/COMPS-8773/pdf/COMPS-8773.pdf,Yes,Grantmaking authority invoked,No,,,NA
42 U.S.C. § 1395dd (b)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"In the case that an individual arrives at a federally funded hospital with an emergency department and is determined to have an emergency medical condition, the hospital is obligated to provide stabilizing treatment at the hospital and/or transfer of the individual to another medical facility. Guidelines for the transfer of patients is governed under 42 U.S.C. § 1395dd (c). Stabilizing care and/or transfer must be provided by the hospital regardless of patient insurance status. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,Not applicable,Domestic,No,Legislation,Include,EMTALA,NA,4/7/86,1/1/22,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/3-Cr8fROVDRQgAChMO_Faw/Z57mTd9uVTuT0c3AgZIUPWmBHsoBCB54JfGJwwRO4NHpsIwFkQZ72qrcmHTcwy2FAyGcxPhj9sr77K-tMhH1Sv9z__G6kNDlWQK46fp_i5TpBtGnlenEbdMIZ-iTOH2xJcCVRL6TAxITvxQTKcyF9nAC8Vn7ErRcE9QTPsUhrpVUbFlQYCuSunuzrHqRfEV33WGz4gCTeb9nZYzRN50s17h0UFnr2etEGVQYZuFMNZ0/8XWRBGof2ARsNP1Pi4vrXYWX1l_tkBezVuH9W1-PYNU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,,,,,Scenario 1,NA
42 U.S.C. § 1395dd (b)(3),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"In the event that a hospital offers a patient with an emergency medical condition an option to transfer to another medical facility, but the individual refuses such a transfer, the hospital must take all reasonable steps to confirm written informed consent to refuse this option. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,Not applicable,Domestic,No,Legislation,Include,EMTALA,NA,4/7/86,1/1/22,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/3-Cr8fROVDRQgAChMO_Faw/Z57mTd9uVTuT0c3AgZIUPWmBHsoBCB54JfGJwwRO4NHpsIwFkQZ72qrcmHTcwy2FAyGcxPhj9sr77K-tMhH1Sv9z__G6kNDlWQK46fp_i5TpBtGnlenEbdMIZ-iTOH2xJcCVRL6TAxITvxQTKcyF9nAC8Vn7ErRcE9QTPsUhrpVUbFlQYCuSunuzrHqRfEV33WGz4gCTeb9nZYzRN50s17h0UFnr2etEGVQYZuFMNZ0/8XWRBGof2ARsNP1Pi4vrXYWX1l_tkBezVuH9W1-PYNU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,,,,,Scenario 1,NA
42 U.S.C. § 1395dd (c)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),"Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. According to section (c)(1), a patient must be stabilized before being transferred to another medical facility unless: (A(i) the individual seeking care requests in writing a transfer to a different facility after being informed of the hospital's responsibility to provide care; (ii) a physician certifies that the medical benefits derived from a transfer outweigh the risks to the patient or the fetus of a pregnant person; (iii) in the event a physician is not present, a qualified medical person certifies the transfer as described in (ii) after consultation with a physician. 
The transfer must also be deemed to be appropriate. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,Not applicable,Domestic,No,Legislation,Include,EMTALA,NA,4/7/86,1/1/22,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/3-Cr8fROVDRQgAChMO_Faw/Z57mTd9uVTuT0c3AgZIUPWmBHsoBCB54JfGJwwRO4NHpsIwFkQZ72qrcmHTcwy2FAyGcxPhj9sr77K-tMhH1Sv9z__G6kNDlWQK46fp_i5TpBtGnlenEbdMIZ-iTOH2xJcCVRL6TAxITvxQTKcyF9nAC8Vn7ErRcE9QTPsUhrpVUbFlQYCuSunuzrHqRfEV33WGz4gCTeb9nZYzRN50s17h0UFnr2etEGVQYZuFMNZ0/8XWRBGof2ARsNP1Pi4vrXYWX1l_tkBezVuH9W1-PYNU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,,,,,Scenario 1,NA
42 U.S.C. § 1395dd (c)(2),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,"Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. Paragraph 2 states that an appropriate transfer must meet the following criteria: 
A. The transferring hospital can provide the medical treatment to the individual in a manner that minimizes the risk to an individual, and potentially a fetus' life. 
B. The receiving facility has the capacity and personnel to treat the patient and has agreed to accept the case and provide appropriate care. 
C. The transferring hospital sends all medical records and documents related to the emergency medical condition and patient to the receiving hospital
D. All necessary and appropriate life support measures are utilized during patient transfer
E. Meets any other requirements required by the Secretary of Health and Human Services. ",Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,Not applicable,Domestic,No,Legislation,Include,EMTALA,NA,4/7/86,1/1/22,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/3-Cr8fROVDRQgAChMO_Faw/Z57mTd9uVTuT0c3AgZIUPWmBHsoBCB54JfGJwwRO4NHpsIwFkQZ72qrcmHTcwy2FAyGcxPhj9sr77K-tMhH1Sv9z__G6kNDlWQK46fp_i5TpBtGnlenEbdMIZ-iTOH2xJcCVRL6TAxITvxQTKcyF9nAC8Vn7ErRcE9QTPsUhrpVUbFlQYCuSunuzrHqRfEV33WGz4gCTeb9nZYzRN50s17h0UFnr2etEGVQYZuFMNZ0/8XWRBGof2ARsNP1Pi4vrXYWX1l_tkBezVuH9W1-PYNU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,,,,,Scenario 1,NA
42 U.S.C. § 1395dd (f),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,Facilities that have specialized capabilities or facilities may not refuse to accept an appropriate transfer of a patient that requires such specialized treatment so long as the hospital has the capacity to treat the individual. ,Examination and treatment for emergency medical conditional and women in labor (EMTALA),Department of Health and Human Services,Hospital Receives Federal Funding,,Not applicable,Domestic,No,Legislation,Include,EMTALA,NA,4/7/86,1/1/22,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/3-Cr8fROVDRQgAChMO_Faw/Z57mTd9uVTuT0c3AgZIUPWmBHsoBCB54JfGJwwRO4NHpsIwFkQZ72qrcmHTcwy2FAyGcxPhj9sr77K-tMhH1Sv9z__G6kNDlWQK46fp_i5TpBtGnlenEbdMIZ-iTOH2xJcCVRL6TAxITvxQTKcyF9nAC8Vn7ErRcE9QTPsUhrpVUbFlQYCuSunuzrHqRfEV33WGz4gCTeb9nZYzRN50s17h0UFnr2etEGVQYZuFMNZ0/8XWRBGof2ARsNP1Pi4vrXYWX1l_tkBezVuH9W1-PYNU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,,,,,Scenario 1,NA
